Drug 1,Drug 2,Interaction Description
Prednisone,Levofloxacin,The risk or severity of adverse effects can be increased when Prednisone is combined with Levofloxacin.
Warfarin,Levofloxacin,Warfarin may increase the anticoagulant activities of Levofloxacin.
Rosiglitazone,Levofloxacin,Rosiglitazone may increase the hypoglycemic activities of Levofloxacin.
Pioglitazone,Levofloxacin,Pioglitazone may increase the hypoglycemic activities of Levofloxacin.
Metformin,Levofloxacin,Metformin may increase the hypoglycemic activities of Levofloxacin.
Bromocriptine,Levofloxacin,Bromocriptine may increase the hypoglycemic activities of Levofloxacin.
Fluticasone Propionate,Levofloxacin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Levofloxacin.
Naproxen,Levofloxacin,Naproxen may increase the neuroexcitatory activities of Levofloxacin.
Ibuprofen,Levofloxacin,Ibuprofen may increase the neuroexcitatory activities of Levofloxacin.
Citalopram,Levofloxacin,Citalopram may increase the QTc-prolonging activities of Levofloxacin.
Amiodarone,Levofloxacin,Amiodarone may increase the QTc-prolonging activities of Levofloxacin.
Fluoxetine,Levofloxacin,Fluoxetine may increase the QTc-prolonging activities of Levofloxacin.
Lovastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Lovastatin.
Quetiapine,Levofloxacin,Quetiapine may increase the QTc-prolonging activities of Levofloxacin.
Escitalopram,Levofloxacin,Escitalopram may increase the QTc-prolonging activities of Levofloxacin.
Pravastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Pravastatin.
Simvastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Simvastatin.
Rosuvastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Rosuvastatin.
Atenolol,Furosemide,The risk or severity of adverse effects can be increased when Atenolol is combined with Furosemide.
Metoprolol,Furosemide,The risk or severity of adverse effects can be increased when Metoprolol is combined with Furosemide.
Prednisone,Furosemide,Prednisone may increase the hypokalemic activities of Furosemide.
Chlorthalidone,Furosemide,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Furosemide.
Methotrexate,Furosemide,The therapeutic efficacy of Furosemide can be decreased when used in combination with Methotrexate.
